genename	geneID	chr	strand	start	stop
4930594M22Rik	AK157947	chr14	+	123312252	123328664
Zfp85-rs1	NM_001001130	chr13	-	67848736	67856071
Scap	NM_001001144	chr9	+	110235821	110287450
Scap	NM_001103162	chr9	+	110235821	110287450
Zfp458	NM_001001152	chr13	-	67355853	67370004
Fbxo41	NM_001001160	chr6	-	85419571	85452880
Taf9b	NM_001001176	chrX	-	103402212	103414972
BC051142	NM_001001177	chr17	+	34535779	34597669
BC048546	NM_001001179	chr6	-	128490299	128531624
BC066028	NM_001001180	chr7	-	147995575	148008064
BC031181	NM_001001181	chr18	+	75165531	75169587
Baz2b	NM_001001182	chr2	-	59737419	59963797
Tmem204	NM_001001183	chr17	-	25194646	25218059
Ccdc111	NM_001001184	chr8	-	47660947	47702536
Zfp456	NM_001001186	chr13	-	67464519	67476699
3830402I07Rik	NM_001001187	chr13	-	67773833	67784481
Dis3l	NM_001001295	chr9	-	64154815	64188997
Thnsl1	NM_001001297	chr2	+	21127375	21136636
Thnsl1	NM_177588	chr2	+	21127375	21136636
Itga8	NM_001001309	chr2	-	12028286	12223569
Pramel4	NM_001001319	chr4	+	143649028	143659221
Slc35d2	NM_001001321	chr13	-	64197617	64230642
Adamts13	NM_001001322	chr2	+	26828935	26865145
St5	NM_001001326	chr7	-	116667424	116760661
St5	NM_029811	chr7	-	116667424	116760661
Vkorc1l1	NM_001001327	chr5	+	130417982	130458760
Vkorc1l1	NM_027121	chr5	+	130417982	130458760
BC117090	NM_001001332	chr16	-	36321750	36334418
Hexdc	NM_001001333	chr11	+	121069016	121083961
BC061194	NM_001001334	chr2	+	18620648	18671232
Plekha8	NM_001001335	chr6	+	54553140	54591027
Defb29	NM_001001444	chr2	-	152364449	152365777
Trpv1	NM_001001445	chr11	+	73051760	73074009
Cyp2c44	NM_001001446	chr19	-	44079511	44103689
Zscan22	NM_001001447	chr7	+	13483190	13493588
Ssxb2	NM_001001450	chrX	-	8031470	8038852
Ssxb2	NM_001134226	chrX	-	8031470	8038852
Ttyh1	NM_001001454	chr7	+	4071134	4087843
Ttyh1	NM_001109765	chr7	+	4071134	4087843
Ttyh1	NM_021324	chr7	+	4071134	4087843
Atp8b1	NM_001001488	chr18	-	64688632	64820623
BC021785	NM_001001489	chr10	-	39687958	39706452
BC021785	NM_001113385	chr10	-	39687958	39706452
Oxgr1	NM_001001490	chr14	-	120418806	120441657
Tpm4	NM_001001491	chr8	+	74659187	74677028
Lca5l	NM_001001492	chr16	-	96380012	96413864
BC056474	NM_001001493	chr8	+	87604861	87606238
Tnip3	NM_001001495	chr6	+	65540391	65584034
Gja6	NM_001001496	chrX	-	157340047	157344944
Dub2a	NM_001001559	chr7	-	110398599	110401019
Chpf	NM_001001565	chr1	-	75471149	75475854
Chpf	NM_001001566	chr1	-	75471143	75475976
Dab2ip	NM_001001602	chr2	+	35547513	35586514
Gm1019	NM_001001650	chr3	-	85797731	85806413
Sohlh1	NM_001001714	chr2	-	25698516	25702768
Whsc1l1	NM_001001735	chr8	+	26712721	26788444
Itprip	NM_001001738	chr19	-	47969085	47993789
Zfp239	NM_001001792	chr6	+	117813113	117822784
Zfp239	NM_008616	chr6	+	117813113	117822784
