genename	geneID	chr	strand	start	stop 0
4930594M22Rik	AK157947	chr14	+	123312252	123328664 16412
Zfp85-rs1	NM_001001130	chr13	-	67848736	67856071 7335
Scap	NM_001001144	chr9	+	110235821	110287450 51629
Scap	NM_001103162	chr9	+	110235821	110287450 51629
Zfp458	NM_001001152	chr13	-	67355853	67370004 14151
Fbxo41	NM_001001160	chr6	-	85419571	85452880 33309
Taf9b	NM_001001176	chrX	-	103402212	103414972 12760
BC051142	NM_001001177	chr17	+	34535779	34597669 61890
BC048546	NM_001001179	chr6	-	128490299	128531624 41325
BC066028	NM_001001180	chr7	-	147995575	148008064 12489
BC031181	NM_001001181	chr18	+	75165531	75169587 4056
Baz2b	NM_001001182	chr2	-	59737419	59963797 226378
Tmem204	NM_001001183	chr17	-	25194646	25218059 23413
Ccdc111	NM_001001184	chr8	-	47660947	47702536 41589
Zfp456	NM_001001186	chr13	-	67464519	67476699 12180
3830402I07Rik	NM_001001187	chr13	-	67773833	67784481 10648
Dis3l	NM_001001295	chr9	-	64154815	64188997 34182
Thnsl1	NM_001001297	chr2	+	21127375	21136636 9261
Thnsl1	NM_177588	chr2	+	21127375	21136636 9261
Itga8	NM_001001309	chr2	-	12028286	12223569 195283
Pramel4	NM_001001319	chr4	+	143649028	143659221 10193
Slc35d2	NM_001001321	chr13	-	64197617	64230642 33025
Adamts13	NM_001001322	chr2	+	26828935	26865145 36210
St5	NM_001001326	chr7	-	116667424	116760661 93237
St5	NM_029811	chr7	-	116667424	116760661 93237
Vkorc1l1	NM_001001327	chr5	+	130417982	130458760 40778
Vkorc1l1	NM_027121	chr5	+	130417982	130458760 40778
BC117090	NM_001001332	chr16	-	36321750	36334418 12668
Hexdc	NM_001001333	chr11	+	121069016	121083961 14945
BC061194	NM_001001334	chr2	+	18620648	18671232 50584
Plekha8	NM_001001335	chr6	+	54553140	54591027 37887
Defb29	NM_001001444	chr2	-	152364449	152365777 1328
Trpv1	NM_001001445	chr11	+	73051760	73074009 22249
Cyp2c44	NM_001001446	chr19	-	44079511	44103689 24178
Zscan22	NM_001001447	chr7	+	13483190	13493588 10398
Ssxb2	NM_001001450	chrX	-	8031470	8038852 7382
Ssxb2	NM_001134226	chrX	-	8031470	8038852 7382
Ttyh1	NM_001001454	chr7	+	4071134	4087843 16709
Ttyh1	NM_001109765	chr7	+	4071134	4087843 16709
Ttyh1	NM_021324	chr7	+	4071134	4087843 16709
Atp8b1	NM_001001488	chr18	-	64688632	64820623 131991
BC021785	NM_001001489	chr10	-	39687958	39706452 18494
BC021785	NM_001113385	chr10	-	39687958	39706452 18494
